Publication Number,Title,Abstract,Claims
US6332175,Low power system and method for playing compressed audio data,"A portable audio player stores a large amount of compressed audio data on an internal disk drive, and loads a portion of this into an internal random access memory (RAM) which requires less power and less time to access. The audio player plays the data stored in RAM and monitors the amount of unplayed data. When the amount of unplayed data falls below a threshold, additional data is copied from the disk drive into RAM. Because the time necessary to copy a block of data from the disk drive to RAM is much less than the amount of time it takes to play the same block of audio data from RAM, this approach minimizes the amount of time that the disk drive must be operated, and thus minimizes the amount of power consumed by the system.","1. A self-contained portable audio player, comprising: 
a disk storage unit for storing compressed audio data comprising a multiplicity of audio recordings;  
a memory buffer for storing compressed audio data and a play list identifying a subset of the audio recordings and an order in which to play the identified subset of audio recordings;  
a compressed audio data converter for converting compressed audio data in the memory buffer into a decompressed audio signal;  
a communications port for transmitting the decompressed audio signal to a user; and  
play control logic for copying compressed audio data from the disk storage unit into the memory buffer, wherein the copied data, when converted into a decompressed audio signal, has a transmission time that is greater than an amount of time required to copy data from the disk storage unit into the memory buffer;  
wherein the play control logic is configured to increase power to the disk storage unit, to enable copying of audio data from the disk storage unit into the memory buffer, when the amount of compressed audio data remaining to be converted by the compressed audio data converter reaches a threshold level unless the play list is empty, and is configured to decrease power to the disk storage unit when copying of compressed audio data from the disk storage unit into the memory buffer reaches a predefined stop condition."
US6338656,Modular jack for Type III PCMCIA cards,"The modular jack allows a RJ series connector plug to be attached to a communications card that conforms to the PCMCIA requirements for a Type III card. The modular jack includes a main body portion including a top surface, a bottom outer surface and a front surface. The receptacle is disposed entirely within the front surface of the modular jack such that no portion of the plug extends through either the top surface or the bottom surface of the main body portion of the modular jack. Thus, the modular jack allows the communications card to be connected to standard RJ series plugs without deviating from the Type III PCMCIA card height requirement, even when the plug is inserted into the jack. Desirably, the main body portion has a height measured from the top surface to the bottom surface that is generally equal to or less than about 10.5 mm. Additionally, the receptacle preferably includes an upper inner surface and a lower inner surface that are separated by a distance that is generally equal to or less than about 10.1 mm. The modular jack may also include a latching area that securely holds the connector plug within the receptacle, but allows the connector plug to be removed from the receptacle without the user depressing a biased clip of the connector plug if a predetermined force is applied to a body of the connector plug.","1. A modular jack that allows a RJ series connector plug to be connected to a communications card that conforms to the PCMCIA requirements for a Type III PC card, the modular jack comprising: 
a main body portion including a first outer surface, an opposing second outer surface, and a front surface, the first outer surface and the second outer surface being separated by a distance of 10. 5 mm or less; and  
a receptacle located in the front surface of the modular jack that is sized and configured to receive the RJ series connector plug along a generally longitudinal axis such that no portion of the plug extends through either the first outer surface or the second outer surface of the main body portion of the modular jack when the plug is inserted into the receptacle;  
wherein there is no cutout in the first outer surface or the second outer surface that is configured to allow a biased clip of the plug to protrude through the outer surfaces."
US6356442,Electronically-enabled encasement for a handheld computer,"An electronically-enabled encasement for a handheld computer is provided. The encasement includes an encasement portion configured to cover at least a portion of the handheld computer, including a front surface of the handheld computer providing access to a display; a spine engageable with an accessory slot of the handheld computer to detachably couple the encasement with the handheld computer; a connector to electronically connect the encasement to the handheld computer; and at least one electronic component embedded in the encasement portion. The encasement may also include a wireless communication port such a radio frequency transmitter or an IR transceiver.","1. An electronically-enabled encasement for a handheld computer, the encasement comprising: 
an encasement portion configured to cover at least a portion of the handheld computer, including a front surface of the handheld computer providing access to a display;  
a spine engageable with an accessory slot of the handheld computer to couple the encasement with the handheld computer and to detach the encasement from the handheld computer; and  
at least one electronic component embedded in the encasement portion so as to be external to the handheld computer when the spine is engaged with the accessory slot of the handheld computer."
US6362974,Stacked processor construction and a method for producing same,"The present invention provides an apparatus comprising a stacked processor construction and a method for creating the stacked processor construction. The stacked processor construction comprises two or more printed circuit boards (PCBs), each of which has at least one processor mounted thereon, and each of which has a local PCB bus. Each processor is electrically coupled to its respective local PCB bus. The PCBs are stacked substantially parallel to each other in such a way that the processors are not placed into contact with each other. The local PCB buses are electrically coupled together to enable the processors to communicate with each other. A stacking device is connected to the PCBs. The stacking device separates the PCBs a predetermined distance apart from one another and maintains the PCBs in planes that are substantially parallel to one another. The predetermined distance is at least large enough to prevent the processors from being in contact with each other. A group of conductive elements electrically couples the local buses together to enable the processors to communicate with each other. Preferably, the conductive elements are comprised by a high-speed connector, which functions as the stacking device.","1. A stacked processor construction apparatus, the stacked processor construction apparatus comprising: 
a first printed circuit board having a first local bus, the first local bus being comprised of conductive traces;  
a first processor mounted on the first printed circuit board, the first processor being electrically coupled to the first local bus;  
a second printed circuit board having a second local bus, the second local bus being comprised of conductive bus traces;  
a second processor mounted on the second printed circuit board, the second processor being electrically coupled to the second local bus;  
a first stacking device connected to the first and second printed circuit boards, the first stacking device separating the first and second printed circuit boards a predetermined distance from one another, the first stacking device maintaining the first and second printed circuit boards substantially in first and second planes, the first and second planes being substantially parallel to one another, the predetermined distance being at least great enough to prevent the first processor from being in contact with the second processor; and  
a first group of conductive elements, the conductive elements electrically coupling the first local bus to the second local bus to enable the first and second processors to communicate with each other."
US6366744,Image forming systems and methods for determining whether an image job will be imaged,"Image forming systems and methods of forming an image are described. According to one exemplary aspect of the invention, a system includes a consumable monitoring device which provides a current amount of a consumable, such as toner. The system of this aspect also includes a memory device configured to store historical information regarding the consumable. A processor provides a requirement amount of the consumable and statistically modifies at least one of the requirement amount and the current amount using the historical information. Exemplary statistical modification uses a ratio of an estimation of a number of pixels within previous image jobs and the actual number of pixels imaged within previous jobs. Thereafter, the processor analyzes the requirement amount with respect to the current amount to determine the probability that an image job will be successfully imaged. In one arrangement, a confidence value is utilized for statistical modification. In addition, the historical information may be weighted. Additional aspects of the invention are also disclosed.","1. An image forming system comprising: 
an image engine configured to use a consumable to produce an image;  
a consumable monitoring device configured to provide a current amount of the consumable;  
a memory device configured to store historical information regarding the consumable; and  
a processor configured to provide a requirement amount of the consumable for an image job to be imaged, to statistically modify at least one of the requirement amount and the current amount using the historical information, and to analyze the requirement amount with respect to the current amount after the modification to determine the probability that the image job will be successfully imaged."
US6374054,Digital camera viewfinder and method of using same,A digital camera includes a viewfinder having a proximity sensor which is activated whenever a user looks through the viewfinder in preparation of viewing an object or framed scene. An illuminated status indicator mounted for viewing within the viewfinder for providing the user when camera status information is coupled to the proximity sensor through a microprocessor that controls the illumination level of the status indicator. The illumination level of the status indicator is controlled by the microprocessor in response to an auto-exposure algorithm that measures the brightness level of the object or framed scene that is being viewed by the user through the viewfinder.,"1. A digital camera, comprising: 
a through the lens viewfinder for enabling a user to directly view an object seen through a lens;  
said viewfinder having a proximity sensor for determining whenever a user looks through the viewfinder and a status indicator for providing the user with camera status information;  
and a control algorithm responsive to an indication that the user is looking through the viewfinder for controlling the illumination of said status indicator."
US6377530,System and method for playing compressed audio data,"A portable audio player stores a large amount of compressed audio data on an internal disk drive, and loads a portion of this into an internal random access memory (RAM) which requires less power and less time to access. The audio player plays the data stored in RAM and monitors the amount of unplayed data. When the amount of unplayed data falls below a threshold, additional data is copied from the disk drive into RAM. When the portable audio player is turned off, a predetermined amount of audio data is stored in a fast-access non-volatile flash memory unit. When the audio player is turned back on, and play is resumed, a suitable portion of this data can be played while data is being loaded from the disk drive into RAM, thus reducing the amount of time a user must wait before receiving data in response to a play request.","1. An audio player, comprising: 
a first memory unit;  
a non-volatile memory buffer;  
fast-start logic for copying a predefined amount of audio data from the first memory unit into the non-volatile memory buffer under predefined conditions before the audio player is turned off, and for playing the audio data stored in the non-volatile memory buffer when the audio player is commanded to resume playing;  
wherein the first memory unit has a longer data access time than a data access time associated with the non-volatile memory buffer;  
whereby the fast-start logic enables the audio player to resume playing audio data within a time period corresponding to the data access time associated with the non-volatile memory buffer upon receiving a command to resume playing after the audio player has been turned off."
US6393371,Voltage control of integrated circuits,"A method and apparatus for operating an integrated circuit in an electronic device by controlling the supply voltage to the integrated circuit (IC). A parameter of the IC is measured and used to adjust the supply voltage of the IC. The measured parameter is indicative of the effective channel mobility of the IC. One purpose of adjusting the voltage is to modify the effective channel mobility such that the individual channel currents are substantially constant over a predetermined operating temperature range of the IC. The modification of channel mobility is chosen to set the individual channel currents at levels that either maximizes operating speed, minimizes power consumption, extends the range of operating temperature, or increases the operational reliability of the IC.","1. An electronic device, comprising: 
at least one integrated circuit having a supply voltage input;  
a power supply coupled to said supply voltage input of said at least one integrated circuit, said power supply having a control input; and  
a control circuit coupled to said control input of said power supply, said control circuit having an effective channel mobility sensor for detecting the effective channel mobility of said at least one integrated circuit;  
wherein said at least one integrated circuit operates such that individual channel current levels are substantially constant over a predetermined operating temperature range of the IC."
US6397245,System and method for evaluating the operation of a computer over a computer network,"The invention permits a user, such as a network administrator, to remotely initiate and control the diagnostics of a node of a networked computer system. This diagnostic control is performed by the user selecting a diagnostic routine that is to be executed. This diagnostic routine instructs the managed node to collect configuration or other data and report this data back to the diagnostic control, which is then reported back to the user. In accordance with one aspect of the invention, the system includes a management client executing a user interface, such as a Web browser. The system also includes a management server executing a Web server, wherein the Web server is configured to be invoked by the user interface (e.g., by specifying a URL). The management server further includes software for dynamically serving data to the Web server, and at least one diagnostic control (e.g., COM object) that defines a plurality of diagnostic steps to perform on a managed object. Finally, the system includes a managed object (e.g., a network node) having data control software configured to collect data from the managed object in response to specific requests made by the diagnostic control. Preferably, the data control software is configured reports the collected data back to the diagnostic control over the computer network.","1. A system for evaluating the operation of a managed object in a computer network environment comprising: 
a management client executing a user interface;  
 a management server executing a Web server, the Web server configured to be capable of being invoked by the user interface, the management server further including software for dynamically serving data to the Web server, and at least one diagnostic control that defines a plurality of diagnostic steps to perform on a managed object; and  
a managed object, the managed object having data control software configured to collect data from the managed object in response to specific requests made by the diagnostic control, the data control software being further configured to report the collected data back to the diagnostic control over the computer network;  
wherein the managed client, the management server, and the managed object are disposed for intercommunication across the computer network."
US6405278,Method for enabling flash memory storage products for wireless communication,"A method and apparatus for increasing the amount of memory available to a host device that utilizes flash memory are disclosed. In a preferred embodiment, a flash card comprising flash memory and a transmitter for transmitting data via wireless communication is utilized within a host device. Such flash card may store data in its flash memory, and may transmit data from the flash card to an extended storage device via wireless communication. In a preferred embodiment, such wireless communication is radio frequency (RF). Data transfer from the flash card to an extended storage device may be initiated by a mechanism on the flash card or on the host device. In a preferred embodiment, the flash card further comprises a receiver for receiving wireless signals. In such an embodiment, an extended storage device may initiate a data transfer by transmitting the appropriate signals to the flash card. In a preferred embodiment, an extended storage device may comprise a transmitter for further transmitting the data to another storage device(s). Such transmitter may be a more powerful transmitter than provided in the flash card, such that the extended storage device may transmit data to a more remote location. Advantageously, in a preferred embodiment an extended storage device may be a less expensive form of storage than flash memory.","1. A method for storing data from a host device, said host device utilizing flash memory, comprising: 
saving data from a host device to flash memory on a flash card comprising said flash memory and a transmitter for transmitting said data via wireless communication;  
initiating a data transfer from said flash card to an extended storage device; and  
in response to said initiating, transmitting at least a portion of said data from said flash card to said extended storage device via said wireless communication."
US6407910,Computer with modular drive in separate bay,A tower computer with a sheet metal housing which has a plurality of separate bays housing a plurality of computer components including a bay located at one vertical end of the sheet metal housing with a media drive assembly readily-removeably mounted therein exclusive of any other ones of the plurality of computer components.,"1. A tower computer comprising: 
a sheet metal housing comprising a plurality of separate bays housing a plurality of computer components, said separate bays comprising a bay located at one vertical end of said sheet metal housing, said housing end bay comprising a bottom bay;  
a media drive assembly readily-removeably-mounted in said end bay exclusive of any other ones of said plurality of computer components."
US6407914,Docking system for portable computer,"The present invention of a docking system is embodied in a portable computer receiving tray and interface cable having the capability to connect a large variety of portable computers, such as, for example, laptops, notebooks, palmtops or handheld computers, to a remote expansion and upgrade box, such as a cable dock. The interface cable can be used with or without the receiving tray, and as such, it can connect directly to the receiving tray, or to the portable computer on one end, and to the cable dock on the other end. Further, both the receiving tray and the interface cable may have at least one integrated auxiliary connector for directly connecting peripherals. In addition, the receiving tray may have at least one internal computer peripheral expansion bay either integrated into the tray, or provided via a removable tray expansion module.","1. A docking system for receiving a portable computer, comprising: 
a tray having a first communications interface coupled to the tray;  
an interface cable having a first end connected to the first communications interface;  
a remote expansion and upgrade box having a second communications interface connected to a second end of the interface cable, thereby establishing a communications pathway between the tray and the remote expansion and upgrade box via the interface cable; and  
latches releasably securing the interface cable to the tray."
US6412089,Background read scanning with defect reallocation,"A method, apparatus and computer system for correcting errors and defects in a storage device. The storage device includes media for storing data. A periodic read scan is performed to test the data. If a repeatable error is found, the data is moved to a new sector from a pool of available sectors. Defects are counted and identified in a defect list for reporting to the host. The storage device is scannable is small segments to minimize impact on performance.","1. A method of repairing defects in a computer storage device accessible by a processor, the storage device having a storage disk addressable in portions, the method comprising: 
(a) during operation of said computer, detecting a predetermined period of inactivity in accessing said storage device by said processor;  
(b) then scanning at least a said portion of the disk for defects; and  
(c) relocating the data from a defective portion to a non-defective portion of the disk if a defective portion is found."
US6415342,Universal serial bus controlled connect and disconnect,A device for connection to a Universal Serial Bus (USB) signals connection and disconnection from the bus without physically removing or reinserting the USB cable. The devices system controller controls the signaling so that connection or disconnection may be signaled in a variety of situations to accomplish certain tasks. Connection signaling may be delayed until power-up reset procedures are complete to prevent the device from being polled by the host. A disconnect then a connect may be signaled to help recover from certain error conditions. The same data lines may also be used for interfaces other than the USB bus. A switched connection from a USB data line through a pull-up resistor to a positive supply voltage. The switched connection is controlled by a logic function so that it will not be connected when the power supply on the USB cable is not present. The switched connection is also controlled by a logic signal that may be supplied by the USB device's system controller.,"1. A USB device capable of being connected to a USB having a data line, comprising: 
a controlled pull-up coupled to said data line when said USB device is connected to said USB, and wherein a voltage on said data line signals a connect and a disconnect to said USB when said USB device is connected said USB;  
wherein said controlled pull-up can signal both said connect and said disconnect while physically connected to said USB; and  
wherein said controlled pull-up is deactivated to allow said data line to be used with an interface that is not said USB."
US6429773,System for remotely communicating with a vehicle,"This disclosure provides a system for remotely communicating with a vehicle including a wireless device, a security gateway, an on-board computer coupled to one or more sensors or controls, and a web interface that provides for graphical interface between the vehicle and a remote individual. More particularly, a vehicle owner uses the Internet to directly communicate with the vehicle and, using this linkage, can monitor vehicle status (e.g., oil level and quality), read vehicle statistics such as odometer reading and interrogate other sensors as sampled by the on-board computer. Preferably, the owner can also change security functions such as door lock, alarm on, ignition kill ""on,"" and similar functions using this web interface. To assist any vehicle owner with communication with a vehicle, the on-board components or owner's remote browser preferably permit selective downloading of skins, such that a wide variety of customized interfaces may be used to interact with the vehicle, no matter the owner's level of knowledge and sophistication with the vehicle.","1. A system for remotely communicating with a vehicle, comprising: 
a wireless communication device carried on-board the vehicle;  
an on-board vehicle system including one or more vehicle condition sensors or vehicle controls; and  
a user interface that retrieves information about the one or more vehicle condition sensors or vehicle controls and transmits such information through the wireless communication device to a remote location; wherein the user interface is stored aboard the vehicle and may be reconfigured via remote communication to present information in different formats, to permit the on-board vehicle system to thereby present a persistent user interface notwithstanding use of different remote devices and communication paths in communicating with the vehicle."
US6433685,System and method for locating lost or stolen articles,"A system and method are provided for facilitating the locating of lost or stolen articles. The method includes providing an article registry comprising one or more registered article identification information and associated owner preference information. The method also includes providing a lost article registry comprising one or more lost article identification information. The method further includes receiving a first article identification; and responsive to finding the first article identification in the lost article registry, transmitting the associated owner preference information. The system includes a security server which includes an article registry comprising one or more registered article identification information and associated owner preference information. The security server also includes a lost article registry comprising one or more lost article identification information. The security server further includes a module coupled to the article registry and the lost article registry and operable to receive an article identification information. The module is also operable to determine if the received article information is in the lost article registry and, to retrieve and transmit the owner preference information associated with the received article information in response to finding the received article identification information in the lost article registry.","1. A method for reporting article identification information comprising: 
providing, on an article, communication capability to a detector;  
responsive to receiving a request to transmit an article identification information from the detector, transmitting the article identification information to the detector;  
receiving owner preference information from the detector; and  
responsive to receiving owner preference information, initiating an action on the article."
